epoch,train_loss,val_loss,accuracy,maize_prec,maize_rec,maize_f1,specificity,lr
1,0.01796,0.00119,0.9995,0.9992,0.9998,0.9995,0.9992,0.0001236
2,0.00654,0.00379,0.9987,0.9994,0.998,0.9987,0.9994,0.0001196
3,0.00372,0.00248,0.9993,1.0,0.9986,0.9993,1.0,0.0001132
4,0.00496,0.00167,0.9993,1.0,0.9986,0.9993,1.0,0.0001045
5,0.0026,0.00052,0.9999,0.9998,1.0,0.9999,0.9998,9.4e-05
6,0.00369,0.00159,0.9996,0.9996,0.9996,0.9996,0.9996,8.22e-05
7,0.00117,0.00491,0.9986,0.9998,0.9974,0.9986,0.9998,6.95e-05
8,0.00133,0.00071,0.9998,0.9998,0.9998,0.9998,0.9998,5.65e-05
9,0.00099,0.00019,1.0,1.0,1.0,1.0,1.0,4.38e-05
10,0.00087,0.00017,0.9999,0.9998,1.0,0.9999,0.9998,3.2e-05
11,0.00078,0.00031,0.9999,0.9998,1.0,0.9999,0.9998,2.15e-05
12,0.00037,5e-05,1.0,1.0,1.0,1.0,1.0,1.28e-05
13,0.00025,9e-05,1.0,1.0,1.0,1.0,1.0,6.4e-06
14,0.00016,7e-05,1.0,1.0,1.0,1.0,1.0,2.4e-06
