epoch,train_loss,val_loss,accuracy,maize_prec,maize_rec,maize_f1,specificity,lr
1,0.01847,0.00038,0.9999,0.9998,1.0,0.9999,0.9998,0.0001236
2,0.00322,0.00082,0.9997,1.0,0.9994,0.9997,1.0,0.0001196
3,0.00238,0.00037,0.9999,1.0,0.9998,0.9999,1.0,0.0001132
4,0.00174,0.0009,0.9998,1.0,0.9996,0.9998,1.0,0.0001045
5,0.0017,0.00021,1.0,1.0,1.0,1.0,1.0,9.4e-05
6,0.00073,6e-05,1.0,1.0,1.0,1.0,1.0,8.22e-05
7,0.00086,0.00121,0.9996,1.0,0.9992,0.9996,1.0,6.95e-05
8,0.00038,0.00025,0.9999,1.0,0.9998,0.9999,1.0,5.65e-05
9,7e-05,0.0,1.0,1.0,1.0,1.0,1.0,4.38e-05
10,0.00026,1e-05,1.0,1.0,1.0,1.0,1.0,3.2e-05
