phase,epoch,train_loss,val_loss,sil_mIoU,sil_dice,sil_recall,sym_mIoU,sym_dice,cls_acc,msv_f1,msv_f1_early,msv_f1_mid,msv_f1_severe,mln_f1,macro_f1,mcc,sev_mae,sev_mse,sev_rmse,sev_mape,sev_r2,sev_pearson,composite
1,1,-1.27892,-1.27699,0.9126,0.9543,0.9486,0.6352,0.7769,0.9418,0.9195,0.5832,0.5645,0.9317,0.9362,0.9377,0.9094,8.21,276.31,16.62,11732391.37,0.7099,0.862,0.8169
1,2,-2.58811,-1.47766,0.9163,0.9563,0.9553,0.6535,0.7904,0.941,0.9187,0.5914,0.5597,0.9285,0.9354,0.9369,0.9081,8.14,272.61,16.51,19658170.62,0.7138,0.8596,0.8194
1,3,-2.66065,-1.56528,0.9167,0.9565,0.9508,0.6544,0.7911,0.9405,0.918,0.5898,0.5527,0.9293,0.9341,0.9364,0.9074,8.2,272.65,16.51,14251308.33,0.7137,0.8537,0.8183
1,4,-2.67279,-1.3011,0.9165,0.9564,0.9502,0.6481,0.7865,0.9397,0.9156,0.6074,0.5795,0.9357,0.9334,0.9352,0.906,8.14,267.35,16.35,18621170.77,0.7193,0.8605,0.8247
1,5,-2.67121,-1.42367,0.9158,0.9561,0.9482,0.6641,0.7981,0.936,0.9087,0.5333,0.5025,0.9162,0.9305,0.9311,0.9006,8.77,276.39,16.62,35390767.46,0.7098,0.8543,0.7998
1,6,-2.71262,-1.51789,0.9198,0.9582,0.9487,0.6631,0.7974,0.9389,0.9155,0.576,0.5416,0.9231,0.9319,0.9346,0.9049,8.38,269.01,16.4,28946410.1,0.7175,0.8554,0.8149
1,7,-2.70457,-1.37458,0.917,0.9567,0.9534,0.6605,0.7956,0.9392,0.9182,0.5945,0.5616,0.9294,0.9321,0.9352,0.9054,8.05,252.41,15.89,20756271.41,0.735,0.8663,0.8201
1,8,-2.72735,-1.3682,0.9195,0.9581,0.9549,0.6646,0.7985,0.9412,0.9163,0.5754,0.5457,0.9229,0.9351,0.9367,0.9085,8.93,289.48,17.01,54624897.85,0.6961,0.8415,0.815
1,9,-2.73071,-1.43623,0.918,0.9572,0.9519,0.6615,0.7963,0.9394,0.916,0.5784,0.5292,0.9217,0.9328,0.9351,0.9058,8.4,258.65,16.08,30999131.25,0.7284,0.861,0.8134
1,10,-2.75043,-1.41785,0.9157,0.956,0.9495,0.6568,0.7929,0.9404,0.9191,0.6096,0.5635,0.9311,0.9334,0.9363,0.9072,8.05,256.44,16.01,21146506.15,0.7307,0.8642,0.8231
1,11,-2.76939,-1.45963,0.9159,0.9561,0.9522,0.664,0.7981,0.9418,0.9174,0.5857,0.5593,0.9293,0.9359,0.9373,0.9093,8.27,254.48,15.95,26314174.53,0.7328,0.8606,0.818
1,12,-2.7891,-1.39792,0.9191,0.9578,0.9434,0.6629,0.7973,0.9406,0.9163,0.5955,0.545,0.9279,0.9353,0.9361,0.9075,8.18,259.06,16.1,19378622.75,0.728,0.8598,0.8198
1,13,-2.7843,-1.54227,0.9209,0.9588,0.9516,0.6645,0.7984,0.9396,0.9174,0.59,0.5463,0.9278,0.9329,0.9354,0.906,8.39,257.4,16.04,30181865.52,0.7297,0.8645,0.8189
1,14,-2.80213,-1.47309,0.9205,0.9586,0.9493,0.6712,0.8033,0.9421,0.9182,0.5754,0.5547,0.9286,0.9372,0.9377,0.9098,8.3,248.03,15.75,34923506.9,0.7396,0.8649,0.8175
2,1,-3.81007,-2.05261,0.926,0.9616,0.9534,0.6838,0.8122,0.9884,0.9829,0.862,0.873,0.9869,0.988,0.9874,0.9819,4.94,115.66,10.75,1977879.86,0.8786,0.9404,0.9227
2,2,-4.22977,-2.58468,0.9258,0.9615,0.9546,0.702,0.8249,0.9894,0.9848,0.8748,0.8887,0.9884,0.9888,0.9886,0.9835,4.42,84.9,9.21,1306031.52,0.9109,0.9553,0.9275
2,3,-4.44541,-2.56549,0.9261,0.9616,0.9536,0.6982,0.8223,0.9899,0.986,0.896,0.9147,0.9909,0.9894,0.9892,0.9843,4.28,76.33,8.74,728841.31,0.9199,0.962,0.9348
2,4,-4.57503,-2.7032,0.9274,0.9624,0.9528,0.6967,0.8212,0.9907,0.9865,0.8987,0.9097,0.9907,0.9903,0.99,0.9855,4.51,84.18,9.17,3848328.33,0.9116,0.9592,0.9353
