phase,epoch,train_loss,val_loss,sil_mIoU,sil_dice,sil_recall,sym_mIoU,sym_dice,cls_acc,msv_f1,msv_f1_early,msv_f1_mid,msv_f1_severe,mln_f1,macro_f1,mcc,sev_mae,sev_mse,sev_rmse,sev_mape,sev_r2,sev_pearson,composite
1,1,-1.27669,-1.2281,0.9128,0.9544,0.9447,0.6474,0.786,0.9426,0.9211,0.6061,0.5729,0.9324,0.9367,0.9386,0.9105,8.14,287.08,16.94,11362722.62,0.6986,0.8529,0.8226
1,2,-2.57108,-1.44404,0.9093,0.9525,0.9392,0.6467,0.7854,0.9413,0.9192,0.6136,0.5727,0.934,0.9353,0.9372,0.9086,8.41,291.45,17.07,11831087.96,0.694,0.8449,0.8223
1,3,-2.64437,-1.40336,0.9085,0.952,0.9432,0.6448,0.7841,0.941,0.9201,0.5963,0.5647,0.932,0.9353,0.9371,0.9082,9.17,308.91,17.58,32792017.76,0.6757,0.8363,0.8168
1,4,-2.63568,-1.4844,0.9126,0.9543,0.949,0.6504,0.7882,0.941,0.9181,0.582,0.5554,0.9287,0.9338,0.9367,0.9082,8.02,262.83,16.21,14390292.54,0.724,0.8625,0.8155
1,5,-2.64295,-1.56528,0.9139,0.955,0.9542,0.6476,0.7861,0.9376,0.9107,0.5712,0.5339,0.9203,0.9309,0.9327,0.9028,8.02,263.26,16.23,12181532.03,0.7236,0.8631,0.8108
1,6,-2.67793,-1.43525,0.9145,0.9554,0.9376,0.6573,0.7932,0.9392,0.9164,0.5915,0.5522,0.9252,0.9326,0.935,0.9053,8.75,288.87,17.0,34464537.1,0.6967,0.8463,0.8167
1,7,-2.66077,-1.49471,0.9171,0.9568,0.95,0.6539,0.7907,0.9409,0.9179,0.5979,0.5663,0.9302,0.9358,0.9367,0.9079,8.16,258.91,16.09,22138730.62,0.7282,0.8619,0.8218
1,8,-2.69575,-1.43723,0.9159,0.9561,0.9521,0.6539,0.7907,0.9403,0.9188,0.5948,0.5663,0.9275,0.9345,0.9363,0.9072,8.05,252.32,15.88,22060254.97,0.7351,0.866,0.8205
1,9,-2.69667,-1.53385,0.9184,0.9575,0.9498,0.6583,0.7939,0.94,0.9147,0.5596,0.535,0.9254,0.9339,0.9354,0.9067,8.13,256.41,16.01,18875590.43,0.7308,0.8631,0.811
1,10,-2.72029,-1.57106,0.9162,0.9563,0.9464,0.6495,0.7875,0.9405,0.9178,0.5999,0.5498,0.9281,0.9362,0.9364,0.9073,8.38,261.35,16.17,22252303.11,0.7256,0.8578,0.8199
1,11,-2.72513,-1.41712,0.916,0.9561,0.9421,0.6566,0.7927,0.9381,0.9128,0.5628,0.545,0.9248,0.9307,0.9334,0.9036,8.49,275.54,16.6,20232454.49,0.7107,0.8517,0.8108
2,1,-3.7741,-2.42003,0.9231,0.96,0.9521,0.6839,0.8123,0.9882,0.9826,0.8569,0.8698,0.9857,0.9875,0.9872,0.9816,4.77,92.3,9.61,853340.42,0.9031,0.9554,0.9202
2,2,-4.19692,-2.56627,0.9242,0.9606,0.9511,0.6924,0.8183,0.9894,0.9846,0.8728,0.8824,0.9876,0.9887,0.9886,0.9835,4.85,94.04,9.7,1999538.53,0.9013,0.9549,0.9253
