phase,epoch,train_loss,val_loss,sil_mIoU,sil_dice,sil_recall,sym_mIoU,sym_dice,cls_acc,msv_f1,msv_f1_early,msv_f1_mid,msv_f1_severe,mln_f1,macro_f1,mcc,sev_mae,sev_mse,sev_rmse,sev_mape,sev_r2,sev_pearson,composite
1,1,-1.20703,-1.12419,0.9096,0.9527,0.9505,0.6395,0.7801,0.9253,0.8965,0.477,0.4402,0.8965,0.9107,0.9194,0.8862,8.52,344.34,18.56,2857162.27,0.6385,0.8593,0.7762
1,2,-2.28621,-1.12044,0.9163,0.9563,0.95,0.6509,0.7885,0.9322,0.8908,0.4506,0.3996,0.8858,0.9263,0.9255,0.8966,9.5,425.61,20.63,20700992.07,0.5531,0.8544,0.7703
1,3,-2.31083,-0.98023,0.9165,0.9564,0.9453,0.6565,0.7926,0.9254,0.8863,0.4399,0.3944,0.88,0.9283,0.9197,0.8866,9.06,405.06,20.13,286.02,0.5747,0.818,0.7682
1,4,-2.34405,-1.06233,0.9171,0.9568,0.9485,0.6581,0.7938,0.9433,0.9173,0.5891,0.5702,0.9295,0.9397,0.9386,0.9117,8.84,373.2,19.32,10850969.46,0.6082,0.8664,0.8203
1,5,-2.33768,-1.0555,0.9173,0.9569,0.9515,0.6626,0.797,0.9391,0.9146,0.5406,0.5224,0.9237,0.9338,0.9348,0.9056,8.69,364.97,19.1,1493529.17,0.6168,0.8516,0.8049
1,6,-2.33808,-0.87676,0.92,0.9583,0.949,0.6617,0.7964,0.9358,0.9079,0.5196,0.4859,0.9135,0.927,0.9305,0.901,9.17,414.4,20.36,562480.25,0.5649,0.8153,0.7961
1,7,-2.35359,-0.84311,0.9213,0.959,0.9515,0.6661,0.7996,0.9177,0.8666,0.3871,0.341,0.8548,0.9005,0.9088,0.8769,9.22,419.55,20.48,104914.2,0.5595,0.8139,0.7486
1,8,-2.36739,-0.87654,0.9208,0.9588,0.9535,0.667,0.8002,0.9258,0.9025,0.5086,0.4523,0.9032,0.9241,0.9222,0.8869,9.72,470.99,21.7,266.39,0.5055,0.7817,0.7893
1,9,-2.39415,-1.10515,0.9201,0.9584,0.9541,0.6655,0.7992,0.9369,0.9018,0.4855,0.4407,0.8985,0.9304,0.931,0.9032,8.65,361.53,19.01,2748609.38,0.6204,0.8602,0.785
1,10,-2.40409,-0.98335,0.922,0.9594,0.9533,0.669,0.8017,0.9183,0.8663,0.3922,0.3366,0.8523,0.9036,0.9095,0.8779,8.86,381.79,19.54,5121449.39,0.5991,0.857,0.7502
1,11,-2.40494,-0.97097,0.9217,0.9593,0.9552,0.6663,0.7998,0.9422,0.9156,0.5539,0.5244,0.9223,0.9382,0.9376,0.9102,8.67,364.26,19.09,2082615.22,0.6175,0.8582,0.8101
1,12,-2.40545,-1.06478,0.9212,0.959,0.9512,0.6707,0.8029,0.9432,0.9174,0.5758,0.5398,0.924,0.9382,0.9387,0.9118,8.81,375.72,19.38,2675182.28,0.6055,0.8608,0.8158
1,13,-2.42889,-0.94704,0.922,0.9594,0.9499,0.6709,0.803,0.9038,0.835,0.3371,0.2807,0.813,0.9045,0.8948,0.8588,8.75,373.65,19.33,1056287.52,0.6077,0.847,0.7319
1,14,-2.41279,-1.07864,0.9225,0.9597,0.9549,0.6757,0.8065,0.9355,0.8992,0.4773,0.4271,0.8954,0.9263,0.9291,0.9014,8.67,366.15,19.14,948416.51,0.6156,0.8521,0.7822
2,1,-2.83168,-1.3349,0.9274,0.9624,0.9541,0.6824,0.8112,0.9854,0.9768,0.8237,0.8163,0.9798,0.9839,0.9839,0.9773,8.13,312.58,17.68,179.77,0.6718,0.8803,0.9058
2,2,-3.11562,-1.35531,0.9275,0.9624,0.955,0.6884,0.8154,0.9889,0.9838,0.8726,0.8703,0.9863,0.988,0.988,0.9827,7.8,279.9,16.73,213.36,0.7061,0.9008,0.9223
2,3,-3.21171,-1.12818,0.928,0.9627,0.9541,0.6904,0.8169,0.9885,0.9836,0.8771,0.881,0.9877,0.9874,0.9876,0.9821,8.78,376.29,19.4,382013.59,0.6049,0.8647,0.9234
2,4,-3.27381,-1.34334,0.9297,0.9636,0.9545,0.6881,0.8152,0.9905,0.9857,0.9041,0.9061,0.9895,0.99,0.9896,0.9851,7.74,272.14,16.5,331.59,0.7143,0.9089,0.9336
2,5,-3.31337,-1.38477,0.9294,0.9634,0.9556,0.6921,0.8181,0.9902,0.9854,0.8858,0.8998,0.9901,0.9896,0.9894,0.9848,7.78,276.93,16.64,83.08,0.7092,0.9062,0.929
2,6,-3.32558,-1.45671,0.9304,0.9639,0.9553,0.7,0.8235,0.9909,0.9871,0.8951,0.9085,0.991,0.9906,0.9903,0.9859,7.54,253.56,15.92,256.69,0.7338,0.9205,0.9326
2,7,-3.37157,-1.38929,0.9305,0.964,0.9562,0.6986,0.8226,0.9912,0.9869,0.8972,0.9016,0.9899,0.9908,0.9904,0.9863,7.6,259.11,16.1,142.49,0.7279,0.9186,0.9323
2,8,-3.40289,-1.53093,0.9305,0.964,0.9552,0.6962,0.8209,0.9903,0.9861,0.8866,0.8887,0.9885,0.9898,0.9895,0.9848,7.61,260.86,16.15,71.58,0.7261,0.9118,0.9286
2,9,-3.40133,-1.41368,0.9306,0.9641,0.9548,0.6958,0.8206,0.9914,0.9877,0.898,0.9073,0.9903,0.9912,0.9908,0.9867,7.64,263.27,16.23,79.6,0.7236,0.9177,0.9331
