phase,epoch,train_loss,val_loss,sil_mIoU,sil_dice,sil_recall,sym_mIoU,sym_dice,cls_acc,msv_f1,msv_f1_early,msv_f1_mid,msv_f1_severe,mln_f1,macro_f1,mcc,sev_mae,sev_mse,sev_rmse,sev_mape,sev_r2,sev_pearson,composite
1,1,-1.21115,-1.21015,0.9115,0.9537,0.9478,0.6345,0.7764,0.93,0.8887,0.4463,0.3924,0.8815,0.9204,0.923,0.8936,8.37,330.81,18.19,2292369.7,0.6527,0.8695,0.7669
1,2,-2.28152,-1.25435,0.9163,0.9563,0.9488,0.6488,0.787,0.9395,0.9082,0.5191,0.4763,0.9085,0.9339,0.9342,0.9067,8.77,362.97,19.05,6674788.95,0.6189,0.8667,0.7947
1,3,-2.3312,-1.02901,0.9143,0.9552,0.9534,0.6471,0.7857,0.9352,0.9073,0.514,0.481,0.9097,0.9302,0.9305,0.9,8.6,354.26,18.82,4711064.65,0.628,0.8651,0.793
1,4,-2.32345,-1.08195,0.9163,0.9563,0.9465,0.6574,0.7933,0.9385,0.9115,0.5491,0.5145,0.921,0.9325,0.9335,0.9048,8.68,365.99,19.13,2007294.67,0.6157,0.8541,0.805
1,5,-2.33169,-0.96831,0.9202,0.9585,0.9516,0.6582,0.7939,0.9379,0.9081,0.5158,0.4781,0.9131,0.9304,0.9324,0.9041,9.51,436.37,20.89,13384048.98,0.5418,0.8454,0.7948
1,6,-2.34815,-1.04154,0.9206,0.9587,0.9523,0.6634,0.7977,0.934,0.8985,0.4717,0.4256,0.8943,0.928,0.9281,0.899,8.83,375.03,19.37,3514687.99,0.6062,0.8619,0.7802
1,7,-2.35225,-0.92966,0.9186,0.9576,0.9534,0.662,0.7966,0.9409,0.9126,0.5521,0.5237,0.918,0.9364,0.936,0.9083,8.76,373.25,19.32,1906119.19,0.6081,0.8495,0.8078
1,8,-2.36121,-1.09541,0.921,0.9588,0.953,0.6698,0.8023,0.9422,0.9165,0.5652,0.5346,0.9249,0.9376,0.9377,0.9102,8.72,368.33,19.19,4343951.07,0.6133,0.8617,0.8131
1,9,-2.38922,-1.05614,0.9214,0.9591,0.9526,0.6655,0.7992,0.9345,0.9099,0.5501,0.5133,0.9192,0.9269,0.9297,0.8985,8.82,376.99,19.42,6733725.23,0.6042,0.8645,0.8061
1,10,-2.38926,-1.12427,0.9202,0.9584,0.9462,0.6638,0.7979,0.9399,0.9077,0.6024,0.593,0.9306,0.9366,0.9341,0.9064,8.66,364.13,19.08,2098666.43,0.6177,0.8543,0.8262
1,11,-2.40469,-0.95005,0.9224,0.9597,0.9495,0.6675,0.8006,0.9176,0.8714,0.3976,0.3505,0.8609,0.8987,0.9091,0.8765,8.76,371.83,19.28,4055412.57,0.6096,0.8563,0.7526
1,12,-2.39641,-1.03804,0.9228,0.9598,0.9534,0.671,0.8031,0.9413,0.9153,0.6074,0.5932,0.9335,0.9393,0.9366,0.9086,8.85,382.53,19.56,777573.43,0.5984,0.8393,0.8286
1,13,-2.42022,-1.02694,0.9237,0.9603,0.9531,0.6727,0.8044,0.9375,0.9062,0.5077,0.4636,0.9048,0.9359,0.9325,0.9039,8.92,388.55,19.71,1375499.7,0.592,0.8353,0.7941
1,14,-2.42247,-1.07033,0.9243,0.9606,0.9548,0.6771,0.8074,0.9413,0.9139,0.5615,0.536,0.9245,0.9367,0.9365,0.9087,8.79,375.74,19.38,1642316.83,0.6055,0.8466,0.8135
1,15,-2.43503,-1.04005,0.9252,0.9611,0.953,0.6729,0.8045,0.9397,0.9106,0.5239,0.4948,0.9166,0.9347,0.9346,0.9065,8.73,370.06,19.24,2382590.62,0.6114,0.8513,0.8016
1,16,-2.44429,-1.01408,0.9239,0.9604,0.956,0.6737,0.805,0.9344,0.9041,0.5003,0.453,0.9061,0.9248,0.9287,0.8993,8.73,369.41,19.22,2813742.17,0.6121,0.8579,0.7902
1,17,-2.45557,-0.96112,0.9252,0.9611,0.9542,0.6759,0.8066,0.9402,0.9098,0.5262,0.4875,0.9106,0.9368,0.9352,0.9076,8.75,372.05,19.29,3015804.11,0.6094,0.8515,0.8014
1,18,-2.47668,-0.96809,0.9257,0.9614,0.9545,0.6783,0.8083,0.9405,0.9093,0.5158,0.4785,0.9115,0.9348,0.9351,0.9081,8.74,371.37,19.27,1727264.84,0.6101,0.8484,0.7984
1,19,-2.48234,-1.01516,0.9259,0.9615,0.9541,0.6756,0.8064,0.9293,0.8842,0.4333,0.3811,0.8744,0.923,0.9221,0.8929,8.72,369.42,19.22,1801788.07,0.6121,0.8498,0.7686
1,20,-2.48663,-1.0268,0.926,0.9616,0.9544,0.6753,0.8062,0.9404,0.9089,0.5084,0.4775,0.9122,0.934,0.9349,0.9081,8.71,368.44,19.19,1935561.33,0.6132,0.8526,0.7968
1,21,-2.49357,-0.96471,0.9257,0.9614,0.955,0.6815,0.8106,0.9448,0.9178,0.563,0.537,0.9243,0.9405,0.9401,0.9142,8.75,373.15,19.32,980648.43,0.6082,0.8463,0.8151
1,22,-2.51212,-0.95727,0.9265,0.9618,0.954,0.6805,0.8099,0.9434,0.9176,0.5739,0.5516,0.9284,0.9393,0.9388,0.9121,8.92,389.68,19.74,764170.5,0.5908,0.8333,0.8189
2,1,-2.86681,-1.17043,0.9266,0.9619,0.9544,0.6825,0.8113,0.9861,0.9803,0.8629,0.8809,0.9871,0.9856,0.9851,0.9784,8.5,348.38,18.66,99.32,0.6342,0.8599,0.92
