phase,epoch,train_loss,val_loss,sil_mIoU,sil_dice,sil_recall,sym_mIoU,sym_dice,cls_acc,msv_f1,msv_f1_early,msv_f1_mid,msv_f1_severe,mln_f1,macro_f1,mcc,sev_mae,sev_mse,sev_rmse,sev_mape,sev_r2,sev_pearson,composite
1,1,-1.28147,-1.26142,0.9085,0.9521,0.9495,0.6232,0.7679,0.9442,0.9202,0.6123,0.5918,0.9368,0.9404,0.9397,0.9132,7.97,288.17,16.98,5222045.63,0.6974,0.8869,0.825
1,2,-2.52868,-1.59124,0.9087,0.9521,0.952,0.6312,0.7739,0.9383,0.9085,0.5112,0.4702,0.9072,0.9256,0.9325,0.9057,7.92,254.26,15.95,10960994.11,0.733,0.8868,0.789
1,3,-2.65009,-1.63991,0.9054,0.9504,0.9433,0.6346,0.7765,0.949,0.9203,0.6077,0.571,0.9296,0.9439,0.944,0.9208,7.53,231.4,15.21,14690462.83,0.757,0.8858,0.8214
1,4,-2.68997,-1.59505,0.9093,0.9525,0.9498,0.6386,0.7794,0.9426,0.9072,0.5107,0.4617,0.9023,0.9399,0.9369,0.9119,7.85,272.3,16.5,2399903.36,0.7141,0.8608,0.7903
1,5,-2.6957,-1.54526,0.9109,0.9534,0.9496,0.6393,0.7799,0.9423,0.9089,0.5261,0.4711,0.9057,0.9405,0.937,0.9114,8.81,291.06,17.06,29653167.97,0.6944,0.8768,0.7942
1,6,-2.71232,-1.74349,0.9127,0.9543,0.9434,0.6428,0.7826,0.9481,0.921,0.6219,0.5766,0.931,0.942,0.9433,0.9193,7.5,233.69,15.29,12823827.63,0.7546,0.8832,0.8275
1,7,-2.73291,-1.73236,0.9123,0.9541,0.9449,0.6355,0.7772,0.9369,0.9126,0.5238,0.4791,0.9143,0.9238,0.9318,0.9035,7.68,225.97,15.03,18166598.01,0.7627,0.887,0.7942
1,8,-2.71209,-1.69639,0.9096,0.9526,0.9488,0.6381,0.7791,0.9466,0.9152,0.5651,0.5095,0.9172,0.9438,0.9414,0.9175,7.34,225.87,15.03,8900945.07,0.7628,0.8838,0.8079
1,9,-2.76313,-1.66614,0.9135,0.9548,0.9435,0.6412,0.7814,0.9479,0.9214,0.5942,0.5547,0.93,0.9438,0.9433,0.9192,8.01,285.49,16.9,2669004.55,0.7002,0.855,0.8198
1,10,-2.78775,-1.66433,0.9123,0.9542,0.9467,0.6396,0.7802,0.9492,0.9203,0.5903,0.5568,0.9287,0.9437,0.944,0.9209,7.62,240.41,15.51,14386354.32,0.7476,0.8855,0.819
1,11,-2.79537,-1.74606,0.9123,0.9541,0.943,0.6452,0.7843,0.9391,0.9017,0.4881,0.4414,0.8956,0.928,0.9324,0.907,8.0,231.43,15.21,32291890.21,0.757,0.884,0.7827
1,12,-2.83343,-1.70961,0.9127,0.9543,0.9451,0.6453,0.7844,0.9501,0.9233,0.6392,0.5947,0.9354,0.9453,0.9453,0.9222,7.51,240.43,15.51,4186166.46,0.7476,0.8753,0.8334
1,13,-2.85446,-1.74476,0.9148,0.9555,0.9508,0.6489,0.7871,0.9475,0.9186,0.5704,0.5242,0.9233,0.9409,0.9423,0.9186,7.47,222.55,14.92,13619288.71,0.7663,0.8816,0.8122
1,14,-2.88871,-1.73834,0.9153,0.9558,0.9532,0.6457,0.7847,0.945,0.9188,0.5511,0.5146,0.922,0.9354,0.94,0.9152,8.02,227.76,15.09,29049266.83,0.7609,0.8795,0.8062
1,15,-2.89785,-1.71969,0.9163,0.9563,0.9482,0.643,0.7827,0.9504,0.924,0.6071,0.559,0.9318,0.9449,0.9456,0.9228,7.98,223.7,14.96,35057542.29,0.7651,0.8828,0.8242
