epoch,train_loss,val_iou,msv_iou,mln_iou,healthy_act
1,0.62788,0.4029,0.3908,0.41333,0.1364
2,0.56169,0.51164,0.52076,0.50378,0.01043
3,0.54152,0.53017,0.50582,0.55116,0.04981
4,0.52971,0.52032,0.53351,0.50896,0.08439
5,0.53183,0.56644,0.53812,0.59086,0.0499
6,0.5103,0.55424,0.54023,0.56632,0.06695
7,0.5213,0.55693,0.54042,0.57115,0.02601
8,0.51548,0.56512,0.54125,0.5857,0.04288
9,0.50469,0.55919,0.53346,0.58137,0.03006
10,0.49934,0.5686,0.53807,0.59492,0.043
11,0.4964,0.55733,0.55407,0.56015,0.04809
12,0.49852,0.56199,0.53667,0.58381,0.02006
13,0.49321,0.54999,0.54309,0.55594,0.06942
14,0.48839,0.57137,0.55153,0.58846,0.04554
15,0.4964,0.56435,0.5473,0.57905,0.05596
16,0.48508,0.57836,0.54844,0.60416,0.01802
17,0.49019,0.57521,0.55345,0.59397,0.02078
18,0.48284,0.57132,0.54534,0.59372,0.04008
19,0.48617,0.56174,0.54828,0.57334,0.02025
20,0.47621,0.55954,0.54574,0.57143,0.01214
21,0.47271,0.54185,0.55628,0.5294,0.01716
22,0.48048,0.55474,0.55101,0.55795,0.04362
23,0.47697,0.56737,0.5559,0.57726,0.04309
24,0.47604,0.57299,0.54966,0.59311,0.01475
25,0.46211,0.57159,0.54956,0.59058,0.01643
26,0.47378,0.58067,0.55345,0.60413,0.01386
27,0.45679,0.57771,0.55494,0.59734,0.01664
28,0.46795,0.57596,0.55519,0.59386,0.00712
29,0.47745,0.57947,0.54719,0.60729,0.01459
30,0.46362,0.57427,0.55544,0.59051,0.02604
31,0.46151,0.57241,0.5476,0.59379,0.01467
32,0.46008,0.58115,0.55651,0.60239,0.02173
33,0.45942,0.55472,0.55821,0.55171,0.01067
34,0.4573,0.58153,0.55183,0.60713,0.01205
35,0.45257,0.57907,0.55342,0.60118,0.0123
36,0.4584,0.57964,0.55947,0.59702,0.01343
37,0.46749,0.5817,0.56039,0.60006,0.00994
38,0.45828,0.58251,0.55281,0.6081,0.00834
39,0.46079,0.576,0.55637,0.59292,0.00868
40,0.46081,0.58124,0.55317,0.60545,0.01101
41,0.45544,0.57994,0.56133,0.59598,0.0108
42,0.45502,0.55762,0.55522,0.5597,0.00408
43,0.45534,0.57527,0.55381,0.59378,0.00871
44,0.45882,0.58827,0.55565,0.6164,0.00512
45,0.44458,0.58169,0.5546,0.60503,0.00376
46,0.45674,0.58743,0.55704,0.61364,0.0068
47,0.45078,0.57792,0.5561,0.59673,0.00649
48,0.4523,0.57159,0.56089,0.58081,0.00559
49,0.45065,0.57024,0.5502,0.58752,0.00291
50,0.45527,0.57632,0.55564,0.59415,0.0057
51,0.46215,0.57448,0.55315,0.59288,0.00492
52,0.44496,0.56706,0.55384,0.57847,0.00622
53,0.45238,0.58083,0.55426,0.60373,0.00602
54,0.45177,0.56288,0.55968,0.56564,0.00436
