epoch,train_loss,val_loss,val_dice,val_iou,val_recall,val_precision,val_specificity,lr
1,0.08453,0.05774,0.9565,0.9218,0.9782,0.941,0.9477,5e-05
2,0.05971,0.05012,0.9634,0.9335,0.9718,0.9594,0.9641,5e-05
3,0.05568,0.04902,0.9631,0.9333,0.976,0.9551,0.9599,5e-05
4,0.05303,0.04686,0.9654,0.9373,0.9836,0.952,0.957,5e-05
5,0.05177,0.04503,0.9675,0.9409,0.9819,0.9573,0.9618,5e-05
6,0.05101,0.0459,0.9674,0.9406,0.9805,0.9587,0.9629,5e-05
7,0.04964,0.04487,0.9674,0.9405,0.9775,0.9613,0.9657,5e-05
8,0.04865,0.04526,0.9665,0.9393,0.982,0.9554,0.9609,5e-05
9,0.04798,0.0474,0.9638,0.9348,0.9717,0.961,0.9657,5e-05
10,0.04742,0.06145,0.9496,0.9126,0.9377,0.9714,0.9756,5e-05
11,0.04688,0.04617,0.9666,0.9393,0.9732,0.9644,0.9686,2.5e-05
12,0.04536,0.04506,0.9666,0.9398,0.9746,0.9631,0.9674,2.5e-05
13,0.04516,0.04558,0.9649,0.9367,0.9718,0.9628,0.9673,2.5e-05
14,0.0445,0.04343,0.9678,0.9415,0.9765,0.9631,0.9675,2.5e-05
15,0.04401,0.04538,0.9648,0.9367,0.9699,0.9643,0.969,2.5e-05
16,0.04396,0.04447,0.9662,0.939,0.9721,0.9647,0.9692,2.5e-05
17,0.04363,0.0433,0.9675,0.9411,0.9759,0.9632,0.9676,2.5e-05
18,0.04243,0.04457,0.9659,0.9385,0.9713,0.9651,0.9694,2.5e-05
19,0.04267,0.04651,0.9638,0.9351,0.9659,0.967,0.9712,2.5e-05
20,0.04221,0.0444,0.9662,0.9392,0.9736,0.9634,0.968,1.25e-05
21,0.04122,0.04514,0.9654,0.9377,0.97,0.9655,0.9699,1.25e-05
22,0.04102,0.04462,0.9663,0.9391,0.9711,0.966,0.9702,1.25e-05
23,0.04065,0.04605,0.9644,0.936,0.9696,0.964,0.9686,1.25e-05
24,0.04078,0.04495,0.9658,0.9385,0.9714,0.9648,0.9691,1.25e-05
