epoch,train_loss,val_loss,val_dice,val_iou,val_recall,val_precision,val_specificity,lr
1,0.12986,0.05933,0.9602,0.9267,0.9845,0.9404,0.9462,5e-05
2,0.06027,0.0504,0.9635,0.9326,0.9862,0.9449,0.95,5e-05
3,0.05384,0.0462,0.9663,0.9376,0.9847,0.9515,0.9559,5e-05
4,0.05154,0.04522,0.9676,0.9399,0.9788,0.9596,0.9639,5e-05
5,0.04979,0.04505,0.968,0.9406,0.9764,0.9627,0.9669,5e-05
6,0.04939,0.04492,0.9675,0.9398,0.9805,0.9578,0.9623,5e-05
7,0.04799,0.04395,0.9677,0.9401,0.978,0.9602,0.965,5e-05
8,0.04712,0.04288,0.9689,0.9423,0.9817,0.9593,0.9636,5e-05
9,0.04644,0.04291,0.9692,0.9428,0.9817,0.9597,0.9638,5e-05
10,0.04588,0.04315,0.9687,0.942,0.9809,0.9597,0.964,5e-05
11,0.046,0.04263,0.9693,0.943,0.9807,0.9609,0.9651,5e-05
12,0.04516,0.04206,0.9695,0.9434,0.981,0.961,0.9652,5e-05
13,0.04412,0.04202,0.9696,0.9435,0.979,0.9628,0.9672,5e-05
14,0.04402,0.04471,0.9662,0.9377,0.9734,0.9622,0.9667,5e-05
15,0.04285,0.04188,0.9693,0.9431,0.9789,0.9624,0.9668,5e-05
16,0.04256,0.04312,0.9677,0.9403,0.9746,0.9635,0.9679,5e-05
17,0.04192,0.04229,0.9693,0.9431,0.9798,0.9617,0.9657,5e-05
18,0.0422,0.04102,0.9704,0.945,0.9806,0.963,0.9669,5e-05
19,0.0419,0.04242,0.9691,0.9426,0.9798,0.9613,0.9655,5e-05
20,0.04107,0.04217,0.9686,0.9417,0.9809,0.9593,0.9636,5e-05
21,0.04094,0.0502,0.9597,0.9265,0.9671,0.9564,0.9615,5e-05
22,0.04004,0.04767,0.9623,0.9311,0.9678,0.9609,0.9661,5e-05
23,0.03971,0.04201,0.9688,0.942,0.9758,0.9644,0.9688,5e-05
24,0.03973,0.04292,0.9676,0.9401,0.975,0.9633,0.9677,2.5e-05
25,0.03798,0.04114,0.9698,0.9442,0.98,0.9624,0.9668,2.5e-05
26,0.03787,0.04146,0.9693,0.9431,0.9799,0.9616,0.9659,2.5e-05
27,0.03697,0.04223,0.9684,0.9416,0.9766,0.963,0.9674,2.5e-05
28,0.03671,0.04199,0.9681,0.941,0.9756,0.9635,0.9678,2.5e-05
