epoch,train_loss,val_loss,val_dice,val_iou,val_recall,val_precision,val_specificity,lr
1,0.06932,0.05203,0.9593,0.9331,0.988,0.9438,0.9477,5e-05
2,0.05586,0.05067,0.9591,0.9331,0.9866,0.9451,0.949,5e-05
3,0.05408,0.04983,0.9599,0.9344,0.9877,0.9457,0.9492,5e-05
4,0.05344,0.04994,0.9607,0.935,0.9898,0.944,0.9485,5e-05
5,0.05281,0.05122,0.9599,0.9341,0.9883,0.9446,0.9484,5e-05
6,0.0519,0.04575,0.965,0.941,0.9783,0.9602,0.9636,5e-05
7,0.0507,0.04651,0.9635,0.9389,0.9851,0.952,0.9552,5e-05
8,0.05031,0.04524,0.9652,0.9414,0.9853,0.9548,0.9573,5e-05
9,0.04947,0.04483,0.9665,0.9435,0.9815,0.9597,0.9637,5e-05
10,0.04894,0.04713,0.9639,0.9399,0.987,0.9518,0.9543,5e-05
11,0.0496,0.04626,0.964,0.9397,0.9824,0.9553,0.9601,5e-05
12,0.04826,0.04715,0.9652,0.941,0.979,0.9592,0.9641,5e-05
13,0.04836,0.04423,0.9658,0.9428,0.9854,0.9557,0.9587,5e-05
14,0.0476,0.04492,0.966,0.9427,0.9855,0.9552,0.9598,5e-05
15,0.04847,0.04474,0.9655,0.9423,0.9839,0.9563,0.9597,2.5e-05
16,0.04518,0.04384,0.9675,0.9451,0.9823,0.9608,0.9648,2.5e-05
17,0.04358,0.04229,0.9686,0.9467,0.9768,0.967,0.9715,2.5e-05
18,0.04385,0.04254,0.9685,0.9468,0.9843,0.9606,0.9644,2.5e-05
19,0.04312,0.04245,0.9684,0.9467,0.9807,0.9635,0.9676,2.5e-05
20,0.04207,0.04147,0.9692,0.948,0.9834,0.9624,0.9656,2.5e-05
21,0.042,0.04282,0.9674,0.9451,0.9821,0.9607,0.9649,2.5e-05
22,0.04193,0.04266,0.9685,0.947,0.9812,0.9635,0.9669,2.5e-05
23,0.04087,0.04315,0.967,0.9446,0.977,0.9648,0.9687,2.5e-05
24,0.04057,0.04314,0.9676,0.9456,0.9813,0.9616,0.9657,2.5e-05
25,0.04045,0.04284,0.9673,0.9451,0.9816,0.9612,0.9653,2.5e-05
26,0.04064,0.0453,0.9661,0.9434,0.9815,0.9594,0.9637,1.25e-05
27,0.03849,0.04346,0.9664,0.944,0.9751,0.9659,0.97,1.25e-05
28,0.03737,0.04155,0.969,0.9477,0.9793,0.9661,0.9697,1.25e-05
29,0.03727,0.04317,0.9669,0.9447,0.9777,0.9645,0.9687,1.25e-05
30,0.03738,0.04154,0.9686,0.9475,0.9794,0.9651,0.9693,1.25e-05
