epoch,train_loss,val_loss,val_dice,val_iou,val_recall,val_precision,val_specificity,lr
1,0.28065,0.18522,0.956,0.9157,0.9895,0.9247,0.9311,1.667e-05
2,0.17245,0.14218,0.9587,0.9206,0.9873,0.9317,0.938,3.333e-05
3,0.1479,0.13263,0.9576,0.9187,0.9862,0.9306,0.9371,5e-05
4,0.13913,0.12689,0.9593,0.9218,0.9908,0.9298,0.9359,5e-05
5,0.13546,0.1247,0.9617,0.9262,0.9863,0.9382,0.9444,5e-05
6,0.13336,0.12001,0.9633,0.9292,0.9881,0.9398,0.9458,5e-05
7,0.13,0.1238,0.9603,0.9237,0.9913,0.9312,0.9373,5e-05
8,0.12851,0.12002,0.9618,0.9264,0.9909,0.9344,0.9405,5e-05
9,0.12728,0.11864,0.9624,0.9276,0.9849,0.941,0.9471,5e-05
10,0.12495,0.11691,0.9637,0.9299,0.9881,0.9404,0.9464,5e-05
11,0.1225,0.11821,0.9635,0.9296,0.9875,0.9407,0.9467,5e-05
12,0.12252,0.11918,0.9613,0.9255,0.9903,0.934,0.9401,5e-05
13,0.12068,0.11803,0.963,0.9286,0.9874,0.9398,0.9458,5e-05
14,0.11979,0.11863,0.9614,0.9256,0.9904,0.934,0.9401,5e-05
15,0.11916,0.11936,0.9612,0.9254,0.9868,0.937,0.9432,5e-05
16,0.11668,0.11708,0.9633,0.9291,0.9866,0.941,0.947,2.5e-05
17,0.11144,0.11449,0.9655,0.9333,0.9836,0.9481,0.9539,2.5e-05
18,0.11002,0.11695,0.9629,0.9284,0.9861,0.9407,0.9468,2.5e-05
19,0.10916,0.11584,0.9645,0.9315,0.9857,0.9443,0.9502,2.5e-05
20,0.1071,0.12171,0.9607,0.9244,0.9637,0.9578,0.9637,2.5e-05
21,0.10615,0.11688,0.9646,0.9316,0.9747,0.9547,0.9604,2.5e-05
22,0.10561,0.12146,0.9619,0.9266,0.9844,0.9404,0.9466,2.5e-05
23,0.10347,0.11733,0.9625,0.9277,0.9749,0.9504,0.9565,1.25e-05
24,0.09962,0.11813,0.9628,0.9283,0.9799,0.9463,0.9524,1.25e-05
