mode,class,n_total,n_processed,pct_processed,mean_severity,std_severity,median_severity,pct_symptomatic,n_excluded,pct_excluded
mode_a,HEALTHY,64468,64468,100.0,42.28,22.1,40.72,100.0,731,1.1
mode_a,MSV,32219,32219,100.0,53.3,25.7,59.53,100.0,583,1.8
mode_a,MLN,53791,53791,100.0,61.82,23.13,67.01,100.0,773,1.4
mode_b,HEALTHY,64468,64468,100.0,24.8,19.56,20.49,99.9,731,1.1
mode_b,MSV,32219,32219,100.0,25.34,16.14,26.18,99.9,583,1.8
mode_b,MLN,53791,53791,100.0,44.97,26.77,43.76,100.0,773,1.4
mode_c,HEALTHY,64468,64468,100.0,24.8,19.56,20.49,99.9,731,1.1
mode_c,MSV,32219,32219,100.0,25.34,16.14,26.18,99.9,583,1.8
mode_c,MLN,53791,53791,100.0,44.97,26.77,43.76,100.0,773,1.4
mode_d,HEALTHY,64468,64468,100.0,0.01,0.06,0.0,19.0,731,1.1
mode_d,MSV,32219,32219,100.0,0.58,1.29,0.01,74.1,583,1.8
mode_d,MLN,53791,53791,100.0,0.07,0.29,0.0,43.4,773,1.4
