stem,category,img_path,sam2_iou,teacher_iou,student_iou,sam2_warn,teacher_warn,student_warn
HEALTHY_1711620370301,HEALTHY,/home/luno/Projects/yellowmaize/data/gold_standard/images/HEALTHY_1711620370301.jpg,0.8993,-1.0,-1.0,False,False,False
HEALTHY_1711621484816,HEALTHY,/home/luno/Projects/yellowmaize/data/gold_standard/images/HEALTHY_1711621484816.jpg,0.7301,-1.0,-1.0,True,False,False
HEALTHY_1711631623274,HEALTHY,/home/luno/Projects/yellowmaize/data/gold_standard/images/HEALTHY_1711631623274.jpg,0.7579,-1.0,-1.0,False,False,False
HEALTHY_1711960891044,HEALTHY,/home/luno/Projects/yellowmaize/data/gold_standard/images/HEALTHY_1711960891044.jpg,0.7685,-1.0,-1.0,False,False,False
HEALTHY_1711961878909,HEALTHY,/home/luno/Projects/yellowmaize/data/gold_standard/images/HEALTHY_1711961878909.jpg,0.7242,-1.0,-1.0,True,False,False
HEALTHY_1711966183442,HEALTHY,/home/luno/Projects/yellowmaize/data/gold_standard/images/HEALTHY_1711966183442.jpg,0.7871,-1.0,-1.0,False,False,False
HEALTHY_1711970996805,HEALTHY,/home/luno/Projects/yellowmaize/data/gold_standard/images/HEALTHY_1711970996805.jpg,0.9763,-1.0,-1.0,False,False,False
HEALTHY_1711981578617,HEALTHY,/home/luno/Projects/yellowmaize/data/gold_standard/images/HEALTHY_1711981578617.jpg,0.8604,-1.0,-1.0,False,False,False
HEALTHY_1712047627099,HEALTHY,/home/luno/Projects/yellowmaize/data/gold_standard/images/HEALTHY_1712047627099.jpg,0.9137,-1.0,-1.0,False,False,False
HEALTHY_1712053385474,HEALTHY,/home/luno/Projects/yellowmaize/data/gold_standard/images/HEALTHY_1712053385474.jpg,0.8658,-1.0,-1.0,False,False,False
HEALTHY_1712058315413,HEALTHY,/home/luno/Projects/yellowmaize/data/gold_standard/images/HEALTHY_1712058315413.jpg,0.507,-1.0,-1.0,True,False,False
HEALTHY_1712062249108,HEALTHY,/home/luno/Projects/yellowmaize/data/gold_standard/images/HEALTHY_1712062249108.jpg,0.9002,-1.0,-1.0,False,False,False
HEALTHY_1712145455285,HEALTHY,/home/luno/Projects/yellowmaize/data/gold_standard/images/HEALTHY_1712145455285.jpg,0.7701,-1.0,-1.0,False,False,False
HEALTHY_1712146019790,HEALTHY,/home/luno/Projects/yellowmaize/data/gold_standard/images/HEALTHY_1712146019790.jpg,0.0005,-1.0,-1.0,True,False,False
HEALTHY_1712151651858,HEALTHY,/home/luno/Projects/yellowmaize/data/gold_standard/images/HEALTHY_1712151651858.jpg,0.8857,-1.0,-1.0,False,False,False
HEALTHY_1712233270954,HEALTHY,/home/luno/Projects/yellowmaize/data/gold_standard/images/HEALTHY_1712233270954.jpg,0.6248,-1.0,-1.0,True,False,False
HEALTHY_1712399462697,HEALTHY,/home/luno/Projects/yellowmaize/data/gold_standard/images/HEALTHY_1712399462697.jpg,0.9848,-1.0,-1.0,False,False,False
HEALTHY_1712578388349,HEALTHY,/home/luno/Projects/yellowmaize/data/gold_standard/images/HEALTHY_1712578388349.jpg,0.8474,-1.0,-1.0,False,False,False
HEALTHY_1712581802063,HEALTHY,/home/luno/Projects/yellowmaize/data/gold_standard/images/HEALTHY_1712581802063.jpg,0.0348,-1.0,-1.0,True,False,False
HEALTHY_1712653987680,HEALTHY,/home/luno/Projects/yellowmaize/data/gold_standard/images/HEALTHY_1712653987680.jpg,0.8837,-1.0,-1.0,False,False,False
HEALTHY_1712665711352,HEALTHY,/home/luno/Projects/yellowmaize/data/gold_standard/images/HEALTHY_1712665711352.jpg,0.8081,-1.0,-1.0,False,False,False
HEALTHY_1712666241874,HEALTHY,/home/luno/Projects/yellowmaize/data/gold_standard/images/HEALTHY_1712666241874.jpg,0.5834,-1.0,-1.0,True,False,False
HEALTHY_1712744105061,HEALTHY,/home/luno/Projects/yellowmaize/data/gold_standard/images/HEALTHY_1712744105061.jpg,0.829,-1.0,-1.0,False,False,False
HEALTHY_1712751806348,HEALTHY,/home/luno/Projects/yellowmaize/data/gold_standard/images/HEALTHY_1712751806348.jpg,0.9119,-1.0,-1.0,False,False,False
HEALTHY_1712834293745,HEALTHY,/home/luno/Projects/yellowmaize/data/gold_standard/images/HEALTHY_1712834293745.jpg,0.8957,-1.0,-1.0,False,False,False
HEALTHY_1712837693878,HEALTHY,/home/luno/Projects/yellowmaize/data/gold_standard/images/HEALTHY_1712837693878.jpg,0.9877,-1.0,-1.0,False,False,False
HEALTHY_1712842025714,HEALTHY,/home/luno/Projects/yellowmaize/data/gold_standard/images/HEALTHY_1712842025714.jpg,0.8574,-1.0,-1.0,False,False,False
HEALTHY_1712927999505,HEALTHY,/home/luno/Projects/yellowmaize/data/gold_standard/images/HEALTHY_1712927999505.jpg,0.743,-1.0,-1.0,True,False,False
HEALTHY_1712998522334,HEALTHY,/home/luno/Projects/yellowmaize/data/gold_standard/images/HEALTHY_1712998522334.jpg,0.7959,-1.0,-1.0,False,False,False
HEALTHY_1713011144082,HEALTHY,/home/luno/Projects/yellowmaize/data/gold_standard/images/HEALTHY_1713011144082.jpg,0.9183,-1.0,-1.0,False,False,False
HEALTHY_1713172507123,HEALTHY,/home/luno/Projects/yellowmaize/data/gold_standard/images/HEALTHY_1713172507123.jpg,0.851,-1.0,-1.0,False,False,False
HEALTHY_1713175314907,HEALTHY,/home/luno/Projects/yellowmaize/data/gold_standard/images/HEALTHY_1713175314907.jpg,0.8763,-1.0,-1.0,False,False,False
HEALTHY_1713428432153,HEALTHY,/home/luno/Projects/yellowmaize/data/gold_standard/images/HEALTHY_1713428432153.jpg,0.8182,-1.0,-1.0,False,False,False
HEALTHY_1713448331081,HEALTHY,/home/luno/Projects/yellowmaize/data/gold_standard/images/HEALTHY_1713448331081.jpg,0.8298,-1.0,-1.0,False,False,False
HEALTHY_1715666275278,HEALTHY,/home/luno/Projects/yellowmaize/data/gold_standard/images/HEALTHY_1715666275278.jpg,0.7018,-1.0,-1.0,True,False,False
HEALTHY_1715852039969,HEALTHY,/home/luno/Projects/yellowmaize/data/gold_standard/images/HEALTHY_1715852039969.jpg,0.8581,-1.0,-1.0,False,False,False
HEALTHY_1715859230533,HEALTHY,/home/luno/Projects/yellowmaize/data/gold_standard/images/HEALTHY_1715859230533.jpg,0.8624,-1.0,-1.0,False,False,False
