filename,category,coverage,weight,status,mode_a_sev,mode_b_sev,mode_c_sev,mode_d_sev,mode_a_grade,mode_b_grade,mode_c_grade,mode_d_grade
HEALTHY_1712917741230,HEALTHY,0.5135,1.0,processed,0.0,0.0,0.0,0.0,0,0,0,0
HEALTHY_1722851986432,HEALTHY,0.419,0.7,processed,0.0,0.0,0.0,0.0,0,0,0,0
HEALTHY_1717766833177,HEALTHY,0.5258,1.0,processed,0.0,0.0,0.0,0.0,0,0,0,0
HEALTHY_1714037920776,HEALTHY,0.5961,1.0,processed,0.0,0.0,0.0,0.0,0,0,0,0
HEALTHY_1726041621219,HEALTHY,0.1655,0.3,processed,0.0,0.0,0.0,0.0,0,0,0,0
HEALTHY_1716900906202,HEALTHY,0.5108,1.0,processed,0.0,0.0,0.0,0.0,0,0,0,0
HEALTHY_1712914025523,HEALTHY,0.4598,0.7,processed,0.0,0.0,0.0,0.0,0,0,0,0
HEALTHY_1711961645375,HEALTHY,0.2918,0.7,processed,0.0,0.0,0.0,0.0,0,0,0,0
HEALTHY_1721107664620,HEALTHY,0.478,0.7,processed,0.0,0.0,0.0,0.0,0,0,0,0
HEALTHY_1723101608962,HEALTHY,0.4025,0.7,processed,0.0,0.0,0.0,0.0,0,0,0,0
HEALTHY_1713000090448,HEALTHY,0.6182,1.0,processed,0.0,0.0,0.0,0.0,0,0,0,0
HEALTHY_Image_3522,HEALTHY,0.4467,0.7,processed,0.0,0.0,0.0,0.0,0,0,0,0
HEALTHY_1713185681460,HEALTHY,0.3889,0.7,processed,0.0,0.0,0.0,0.0,0,0,0,0
HEALTHY_1712927292173,HEALTHY,0.4583,0.7,processed,0.0,0.0,0.0,0.0,0,0,0,0
HEALTHY_1725358324155,HEALTHY,0.3656,0.7,processed,0.0,0.0,0.0,0.0,0,0,0,0
HEALTHY_1719232689384,HEALTHY,0.5298,1.0,processed,0.0,0.0,0.0,0.0,0,0,0,0
HEALTHY_1712742733579,HEALTHY,0.4497,0.7,processed,0.0,0.0,0.0,0.0,0,0,0,0
HEALTHY_1713452104115,HEALTHY,0.3287,0.7,processed,0.0,0.0,0.0,0.0,0,0,0,0
HEALTHY_1721735887660,HEALTHY,0.3923,0.7,processed,0.0,0.0,0.0,0.0,0,0,0,0
HEALTHY_1720093317733,HEALTHY,0.6153,1.0,processed,0.0,0.0,0.0,0.0,0,0,0,0
HEALTHY_1721201828836,HEALTHY,0.4309,0.7,processed,0.0,0.0,0.0,0.0,0,0,0,0
HEALTHY_1718709192772,HEALTHY,0.523,1.0,processed,0.0,0.0,0.0,0.0,0,0,0,0
HEALTHY_1719300050435,HEALTHY,0.3624,0.7,processed,0.0,0.0,0.0,0.0,0,0,0,0
HEALTHY_1721050931264,HEALTHY,0.4838,0.7,processed,0.0,0.0,0.0,0.0,0,0,0,0
HEALTHY_1722071351473,HEALTHY,0.3536,0.7,processed,0.0,0.0,0.0,0.0,0,0,0,0
HEALTHY_1718198906767,HEALTHY,0.4065,0.7,processed,0.0,0.0,0.0,0.0,0,0,0,0
HEALTHY_Image_5439,HEALTHY,0.75,1.0,processed,0.0,0.0,0.0,0.0,0,0,0,0
HEALTHY_1712654228783,HEALTHY,0.3238,0.7,processed,0.0,0.0,0.0,0.0,0,0,0,0
HEALTHY_1715681083237,HEALTHY,0.4328,0.7,processed,0.0,0.0,0.0,0.0,0,0,0,0
HEALTHY_1713001691370,HEALTHY,0.398,0.7,processed,0.0,0.0,0.0,0.0,0,0,0,0
HEALTHY_1719491474504,HEALTHY,0.548,1.0,processed,0.0,0.0,0.0,0.0,0,0,0,0
HEALTHY_1718352177173,HEALTHY,0.3922,0.7,processed,0.0,0.0,0.0,0.0,0,0,0,0
HEALTHY_1712746225225,HEALTHY,0.6206,1.0,processed,0.0,0.0,0.0,0.0,0,0,0,0
HEALTHY_1721392594370,HEALTHY,0.5543,1.0,processed,0.0,0.0,0.0,0.0,0,0,0,0
HEALTHY_1718098914206,HEALTHY,0.4883,0.7,processed,0.0,0.0,0.0,0.0,0,0,0,0
HEALTHY_1721899711335,HEALTHY,0.3496,0.7,processed,0.0,0.0,0.0,0.0,0,0,0,0
HEALTHY_1712654229674,HEALTHY,0.4065,0.7,processed,0.0,0.0,0.0,0.0,0,0,0,0
HEALTHY_1718106893693,HEALTHY,0.5112,1.0,processed,0.0,0.0,0.0,0.0,0,0,0,0
HEALTHY_1717756722819,HEALTHY,0.3723,0.7,processed,0.0,0.0,0.0,0.0,0,0,0,0
HEALTHY_1719402074997,HEALTHY,0.4984,0.7,processed,0.0,0.0,0.0,0.0,0,0,0,0
HEALTHY_1718281028094,HEALTHY,0.636,1.0,processed,0.0,0.0,0.0,0.0,0,0,0,0
HEALTHY_1712139571401,HEALTHY,0.4455,0.7,processed,0.0,0.0,0.0,0.0,0,0,0,0
HEALTHY_1712052247289,HEALTHY,0.5834,1.0,processed,0.0,0.0,0.0,0.0,0,0,0,0
HEALTHY_1723023200304,HEALTHY,0.6305,1.0,processed,0.0,0.0,0.0,0.0,0,0,0,0
HEALTHY_1712919772254,HEALTHY,0.4699,0.7,processed,0.0,0.0,0.0,0.0,0,0,0,0
HEALTHY_1722597557729,HEALTHY,0.2654,0.7,processed,0.0,0.0,0.0,0.0,0,0,0,0
HEALTHY_1712142298773,HEALTHY,0.2455,0.3,processed,0.0,0.0,0.0,0.0,0,0,0,0
HEALTHY_1722944714513,HEALTHY,0.468,0.7,processed,0.0,0.0,0.0,0.0,0,0,0,0
HEALTHY_1723029220790,HEALTHY,0.5172,1.0,processed,0.0,0.0,0.0,0.0,0,0,0,0
HEALTHY_Image_73,HEALTHY,1.0,1.0,processed,0.0,0.0,0.0,0.0,0,0,0,0
HEALTHY_1712569057674,HEALTHY,0.3063,0.7,processed,0.0,0.0,0.0,0.0,0,0,0,0
HEALTHY_1722935110798,HEALTHY,0.4965,0.7,processed,0.0,0.0,0.0,0.0,0,0,0,0
HEALTHY_1719218169936,HEALTHY,0.567,1.0,processed,0.0,0.0,0.0,0.0,0,0,0,0
HEALTHY_1712742186708,HEALTHY,0.6041,1.0,processed,0.0,0.0,0.0,0.0,0,0,0,0
HEALTHY_1725280791529,HEALTHY,0.4902,0.7,processed,0.0,0.0,0.0,0.0,0,0,0,0
HEALTHY_1717081536101,HEALTHY,0.403,0.7,processed,0.0,0.0,0.0,0.0,0,0,0,0
HEALTHY_1722953480525,HEALTHY,0.3102,0.7,processed,0.0,0.0,0.0,0.0,0,0,0,0
HEALTHY_1723898189542,HEALTHY,0.3711,0.7,processed,0.0,0.0,0.0,0.0,0,0,0,0
HEALTHY_1718280966573,HEALTHY,0.4172,0.7,processed,0.0,0.0,0.0,0.0,0,0,0,0
HEALTHY_1716901754214,HEALTHY,0.3815,0.7,processed,0.0,0.0,0.0,0.0,0,0,0,0
HEALTHY_12456 (1359),HEALTHY,0.6966,1.0,processed,0.0,0.0,0.0,0.0,0,0,0,0
HEALTHY_1723802515973,HEALTHY,0.4561,0.7,processed,0.0,0.0,0.0,0.0,0,0,0,0
HEALTHY_1721221123870,HEALTHY,0.3789,0.7,processed,0.0,0.0,0.0,0.0,0,0,0,0
HEALTHY_12456 (1981),HEALTHY,0.0799,-1,processed,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
HEALTHY_1715693704950,HEALTHY,0.4323,0.7,processed,0.0,0.0,0.0,0.0,0,0,0,0
HEALTHY_1724160846212,HEALTHY,0.5813,1.0,processed,0.0,0.0,0.0,0.0,0,0,0,0
HEALTHY_1716469479282,HEALTHY,0.0941,-1,processed,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
HEALTHY_1719581603981,HEALTHY,0.5032,1.0,processed,0.0,0.0,0.0,0.0,0,0,0,0
HEALTHY_1722861463765,HEALTHY,0.4215,0.7,processed,0.0,0.0,0.0,0.0,0,0,0,0
HEALTHY_1712066981996,HEALTHY,0.3829,0.7,processed,0.0,0.0,0.0,0.0,0,0,0,0
HEALTHY_1712394535431,HEALTHY,0.3537,0.7,processed,0.0,0.0,0.0,0.0,0,0,0,0
HEALTHY_1719921437653,HEALTHY,0.4213,0.7,processed,0.0,0.0,0.0,0.0,0,0,0,0
HEALTHY_1723882048135,HEALTHY,0.5358,1.0,processed,0.0,0.0,0.0,0.0,0,0,0,0
HEALTHY_1712575340923,HEALTHY,0.3085,0.7,processed,0.0,0.0,0.0,0.0,0,0,0,0
HEALTHY_1716549128377,HEALTHY,0.5859,1.0,processed,0.0,0.0,0.0,0.0,0,0,0,0
HEALTHY_1712827476964,HEALTHY,0.4584,0.7,processed,0.0,0.0,0.0,0.0,0,0,0,0
HEALTHY_1725031313068,HEALTHY,0.4389,0.7,processed,0.0,0.0,0.0,0.0,0,0,0,0
HEALTHY_1721732487764,HEALTHY,0.6004,1.0,processed,0.0,0.0,0.0,0.0,0,0,0,0
HEALTHY_1724064151935,HEALTHY,0.5744,1.0,processed,0.0,0.0,0.0,0.0,0,0,0,0
HEALTHY_1712999603900,HEALTHY,0.495,0.7,processed,0.0,0.0,0.0,0.0,0,0,0,0
HEALTHY_1712823861282,HEALTHY,0.5264,1.0,processed,0.0,0.0,0.0,0.0,0,0,0,0
HEALTHY_1722344382851,HEALTHY,0.5422,1.0,processed,0.0,0.0,0.0,0.0,0,0,0,0
HEALTHY_1718362502793,HEALTHY,0.374,0.7,processed,0.0,0.0,0.0,0.0,0,0,0,0
HEALTHY_1711618577936,HEALTHY,0.5857,1.0,processed,0.0,0.0,0.0,0.0,0,0,0,0
HEALTHY_1713183723555,HEALTHY,0.5727,1.0,processed,0.0,0.0,0.0,0.0,0,0,0,0
HEALTHY_1723206194214,HEALTHY,0.515,1.0,processed,0.0,0.0,0.0,0.0,0,0,0,0
HEALTHY_12456 (2542),HEALTHY,0.7483,1.0,processed,0.0,0.0,0.0,0.0,0,0,0,0
HEALTHY_1721138833545,HEALTHY,0.2407,0.3,processed,0.0,0.0,0.0,0.0,0,0,0,0
HEALTHY_1720006342679,HEALTHY,0.6477,1.0,processed,0.0,0.0,0.0,0.0,0,0,0,0
HEALTHY_1711632798763,HEALTHY,0.4891,0.7,processed,0.0,0.0,0.0,0.0,0,0,0,0
HEALTHY_1712573181155,HEALTHY,0.2297,0.3,processed,0.0,0.0,0.0,0.0,0,0,0,0
HEALTHY_1720083408058,HEALTHY,0.3296,0.7,processed,0.0,0.0,0.0,0.0,0,0,0,0
HEALTHY_1718705366469,HEALTHY,0.2834,0.7,processed,0.0,0.0,0.0,0.0,0,0,0,0
HEALTHY_1716972216156,HEALTHY,0.4148,0.7,processed,0.0,0.0,0.0,0.0,0,0,0,0
HEALTHY_1716816684900,HEALTHY,0.3859,0.7,processed,0.0,0.0,0.0,0.0,0,0,0,0
HEALTHY_1722075051962,HEALTHY,0.3842,0.7,processed,0.0,0.0,0.0,0.0,0,0,0,0
