filename,category,coverage,weight,status,mode_a_sev,mode_b_sev,mode_c_sev,mode_d_sev
1712917741230,HEALTHY,0.5133,1.0,processed,36.6716,24.9906,24.9906,0.0
1722851986432,HEALTHY,0.419,0.7,processed,16.9271,1.6951,1.6951,0.0
1717766833177,HEALTHY,0.5255,1.0,processed,50.2326,27.0958,27.0958,0.0
1714037920776,HEALTHY,0.5955,1.0,processed,81.1823,64.2187,64.2187,0.0
1726041621219,HEALTHY,0.1646,0.3,processed,70.7635,80.8724,80.8724,0.0
1716900906202,HEALTHY,0.5113,1.0,processed,21.4663,7.1071,7.1071,0.0
1712914025523,HEALTHY,0.4633,0.7,processed,31.1242,8.6777,8.6777,0.0
1711961645375,HEALTHY,0.2918,0.7,processed,49.8116,53.391,53.391,0.0
1721107664620,HEALTHY,0.4766,0.7,processed,28.694,9.4109,9.4109,0.0
1723101608962,HEALTHY,0.4061,0.7,processed,64.4923,42.258,42.258,0.0
1713000090448,HEALTHY,0.6181,1.0,processed,50.7821,29.8602,29.8602,0.0
Image_3522,HEALTHY,0.4467,0.7,processed,78.8047,36.6664,36.6664,0.0
1713185681460,HEALTHY,0.3883,0.7,processed,64.2773,42.2316,42.2316,0.0
1712927292173,HEALTHY,0.4583,0.7,processed,28.2128,3.4552,3.4552,0.0
1725358324155,HEALTHY,0.367,0.7,processed,58.4835,60.8941,60.8941,0.0011
1719232689384,HEALTHY,0.5292,1.0,processed,52.4978,52.4588,52.4588,0.1096
1712742733579,HEALTHY,0.4495,0.7,processed,47.8634,27.5074,27.5074,0.0
1713452104115,HEALTHY,0.3282,0.7,processed,52.9982,43.9304,43.9304,0.0
1721735887660,HEALTHY,0.3923,0.7,processed,60.2278,45.8155,45.8155,0.0
1720093317733,HEALTHY,0.6069,1.0,processed,66.9506,15.6561,15.6561,0.0
1721201828836,HEALTHY,0.4338,0.7,processed,39.3465,26.7939,26.7939,0.0
1718709192772,HEALTHY,0.5236,1.0,processed,55.5502,13.8315,13.8315,0.0013
1719300050435,HEALTHY,0.3611,0.7,processed,64.5079,27.0467,27.0467,0.0111
1721050931264,HEALTHY,0.5389,1.0,processed,8.3041,1.0248,1.0248,0.0
1722071351473,HEALTHY,0.3524,0.7,processed,33.8318,35.4318,35.4318,0.0
1718198906767,HEALTHY,0.4069,0.7,processed,41.1687,1.0411,1.0411,0.0
Image_5439,HEALTHY,0.7464,1.0,processed,10.2909,5.8015,5.8015,0.0
1712654228783,HEALTHY,0.3213,0.7,processed,29.5051,29.162,29.162,0.0
1715681083237,HEALTHY,0.4328,0.7,processed,60.0011,33.1844,33.1844,0.0
1713001691370,HEALTHY,0.3958,0.7,processed,26.1291,14.7816,14.7816,0.0
1719491474504,HEALTHY,0.5482,1.0,processed,64.338,31.969,31.969,0.0005
1718352177173,HEALTHY,0.3921,0.7,processed,56.2022,24.8695,24.8695,0.0
1712746225225,HEALTHY,0.6186,1.0,processed,29.8594,5.1782,5.1782,0.0
1721392594370,HEALTHY,0.5545,1.0,processed,31.0361,22.8629,22.8629,0.0
1718098914206,HEALTHY,0.4898,0.7,processed,81.9477,84.6785,84.6785,0.1538
1721899711335,HEALTHY,0.3495,0.7,processed,72.3836,38.9712,38.9712,0.0805
1712654229674,HEALTHY,0.4075,0.7,processed,39.5876,23.3607,23.3607,0.0
1718106893693,HEALTHY,0.5096,1.0,processed,68.4655,34.4307,34.4307,0.0
1717756722819,HEALTHY,0.3857,0.7,processed,68.469,54.8115,54.8115,0.0
1719402074997,HEALTHY,0.4977,0.7,processed,31.5824,8.306,8.306,0.0
1718281028094,HEALTHY,0.6353,1.0,processed,82.8877,49.3253,49.3253,0.0
1712139571401,HEALTHY,0.4455,0.7,processed,26.8652,26.8704,26.8704,0.0
