stem,category,mode,source_path,sym_pct,sym_px,leaf_px,silhouette_coverage,severity,weight,grade,n_components,mean_component_area_px,max_component_area_px,largest_component_frac,mean_elongation,median_elongation,frac_elongated,frac_compact,fragmentation_index,mean_compactness,frac_streak_like,frac_blob_like,streak_count,streak_dominant,patch_count,patch_dominant,symptom_mean_dist_to_margin,frac_symptom_outer_ring,frac_symptom_inner_core,mode_severity_std,mode_severity_mean,cross_mode_stability_score,confidence_score,confidence_tier,label_confusion_suspected,flag,warning_codes,failure_codes,review_recommendation,reviewer_message,missing_mask,validated_at
1713007832294,HEALTHY,mode_b,/home/luno/Projects/yellowmaize/maize_dataset/HEALTHY/1713007832294.jpg,0.0,0,404481,0.539308,0.0,1.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,False,0,False,-1.0,-1.0,-1.0,0.0,0.0,1.0,100.0,HIGH,,✅,,,PASS — no review required,,False,2026-06-19T07:16:43Z
1714571288848,HEALTHY,mode_b,/home/luno/Projects/yellowmaize/maize_dataset/HEALTHY/1714571288848.jpg,0.0,0,294541,0.392721,0.0,0.7,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,False,0,False,-1.0,-1.0,-1.0,0.0,0.0,1.0,100.0,HIGH,,✅,,,PASS — no review required,,False,2026-06-19T07:16:43Z
1713010751765,HEALTHY,mode_b,/home/luno/Projects/yellowmaize/maize_dataset/HEALTHY/1713010751765.jpg,0.0,0,403438,0.537917,0.0,1.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,False,0,False,-1.0,-1.0,-1.0,0.0,0.0,1.0,100.0,HIGH,,✅,,,PASS — no review required,,False,2026-06-19T07:16:43Z
1721998630028,HEALTHY,mode_b,/home/luno/Projects/yellowmaize/maize_dataset/HEALTHY/1721998630028.jpg,0.0,0,322288,0.429717,0.0,0.7,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,False,0,False,-1.0,-1.0,-1.0,0.6939,0.4006,0.0,80.0,HIGH,,🔴,W_CROSS_MODE_VARIANCE,F_MODE_SEVERE_DISAGREEMENT,PASS — no review required,"[W_CROSS_MODE_VARIANCE] mode_severity_std=0.69, mode_severity_mean=0.40, cv=173.22% (expected: cv < 10% across modes). Likely cause: factory modes produce substantially different severity estimates for this image. Check: are Gabor / LAB modes giving very different mask fills? May indicate borderline LAB values.. | [F_MODE_SEVERE_DISAGREEMENT] mode_severity_std=0.69, mode_severity_mean=0.40, cv=173.22% (expected: cv < 20% across modes). Likely cause: factory modes severely disagree on this image's severity — one or more modes may have failed. Check: re-run factory_master.py on this image with --verbose and inspect per-mode outputs..",False,2026-06-19T07:16:43Z
1716287797878,HEALTHY,mode_b,/home/luno/Projects/yellowmaize/maize_dataset/HEALTHY/1716287797878.jpg,3.4635,14680,423851,0.565135,3.4056,1.0,0,16,917.5,13727,0.9351,3.3732,3.0,0.5625,0.1875,3.5846,4.42,0.125,0.1875,2,True,3,False,0.6443,0.0119,0.9832,2.8352,3.6973,0.2332,36.8,VERY_LOW,HEALTHY→DISEASE_CONFUSION,🔴,W_COVERAGE_BORDERLINE | W_CROSS_MODE_VARIANCE,F_HEALTHY_STRUCTURED_SIGNAL | F_MODE_SEVERE_DISAGREEMENT,RELABEL_CANDIDATE — possible class label error,"[W_COVERAGE_BORDERLINE] sym_pct=3.46% (expected: < 1% for HEALTHY). Likely cause: borderline coverage — 3-band noise gate may be insufficiently suppressing warm-yellow pixels. Check: does the leaf show visible yellowing, or is this purely background colour leakage?. | [W_CROSS_MODE_VARIANCE] mode_severity_std=2.84, mode_severity_mean=3.70, cv=76.68% (expected: cv < 10% across modes). Likely cause: factory modes produce substantially different severity estimates for this image. Check: are Gabor / LAB modes giving very different mask fills? May indicate borderline LAB values.. | [F_HEALTHY_STRUCTURED_SIGNAL] sym_pct=3.46%, streak_count=2 (expected: no streak structure on HEALTHY). Likely cause: Gabor filter is detecting structured streak-like patterns on a leaf labelled HEALTHY. Check: is there any vein-parallel striping visible in the raw image? Could be early-stage MSV mislabelled as HEALTHY.. | [F_MODE_SEVERE_DISAGREEMENT] mode_severity_std=2.84, mode_severity_mean=3.70, cv=76.68% (expected: cv < 20% across modes). Likely cause: factory modes severely disagree on this image's severity — one or more modes may have failed. Check: re-run factory_master.py on this image with --verbose and inspect per-mode outputs.. | [LABEL_CONFUSION] streak_count=2, sym_pct=3.46% (expected: streak_count=0 for HEALTHY with sym_pct > 1%). Likely cause: Gabor detects streak-like structure on a HEALTHY-labelled leaf. Check: does the raw image show any narrow pale/white vein-parallel lines?.",False,2026-06-19T07:16:43Z
1722429483497,HEALTHY,mode_b,/home/luno/Projects/yellowmaize/maize_dataset/HEALTHY/1722429483497.jpg,0.0,0,378879,0.505172,0.0,1.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,False,0,False,-1.0,-1.0,-1.0,2.0305,1.1723,0.0,80.0,HIGH,,🔴,W_CROSS_MODE_VARIANCE,F_MODE_SEVERE_DISAGREEMENT,PASS — no review required,"[W_CROSS_MODE_VARIANCE] mode_severity_std=2.03, mode_severity_mean=1.17, cv=173.21% (expected: cv < 10% across modes). Likely cause: factory modes produce substantially different severity estimates for this image. Check: are Gabor / LAB modes giving very different mask fills? May indicate borderline LAB values.. | [F_MODE_SEVERE_DISAGREEMENT] mode_severity_std=2.03, mode_severity_mean=1.17, cv=173.21% (expected: cv < 20% across modes). Likely cause: factory modes severely disagree on this image's severity — one or more modes may have failed. Check: re-run factory_master.py on this image with --verbose and inspect per-mode outputs..",False,2026-06-19T07:16:43Z
1718098077514,HEALTHY,mode_b,/home/luno/Projects/yellowmaize/maize_dataset/HEALTHY/1718098077514.jpg,0.0,0,285292,0.380389,0.0,0.7,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,False,0,False,-1.0,-1.0,-1.0,1.8038,1.0414,0.0,80.0,HIGH,,🔴,W_CROSS_MODE_VARIANCE,F_MODE_SEVERE_DISAGREEMENT,PASS — no review required,"[W_CROSS_MODE_VARIANCE] mode_severity_std=1.80, mode_severity_mean=1.04, cv=173.21% (expected: cv < 10% across modes). Likely cause: factory modes produce substantially different severity estimates for this image. Check: are Gabor / LAB modes giving very different mask fills? May indicate borderline LAB values.. | [F_MODE_SEVERE_DISAGREEMENT] mode_severity_std=1.80, mode_severity_mean=1.04, cv=173.21% (expected: cv < 20% across modes). Likely cause: factory modes severely disagree on this image's severity — one or more modes may have failed. Check: re-run factory_master.py on this image with --verbose and inspect per-mode outputs..",False,2026-06-19T07:16:43Z
1717760839434,HEALTHY,mode_b,/home/luno/Projects/yellowmaize/maize_dataset/HEALTHY/1717760839434.jpg,0.0,0,495494,0.660659,0.0,1.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,False,0,False,-1.0,-1.0,-1.0,3.1967,1.8456,0.0,80.0,HIGH,,🔴,W_CROSS_MODE_VARIANCE,F_MODE_SEVERE_DISAGREEMENT,PASS — no review required,"[W_CROSS_MODE_VARIANCE] mode_severity_std=3.20, mode_severity_mean=1.85, cv=173.21% (expected: cv < 10% across modes). Likely cause: factory modes produce substantially different severity estimates for this image. Check: are Gabor / LAB modes giving very different mask fills? May indicate borderline LAB values.. | [F_MODE_SEVERE_DISAGREEMENT] mode_severity_std=3.20, mode_severity_mean=1.85, cv=173.21% (expected: cv < 20% across modes). Likely cause: factory modes severely disagree on this image's severity — one or more modes may have failed. Check: re-run factory_master.py on this image with --verbose and inspect per-mode outputs..",False,2026-06-19T07:16:43Z
1721303471592,HEALTHY,mode_b,/home/luno/Projects/yellowmaize/maize_dataset/HEALTHY/1721303471592.jpg,0.0,0,357875,0.477167,0.0,0.7,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,False,0,False,-1.0,-1.0,-1.0,0.6215,0.3588,0.0,80.0,HIGH,,🔴,W_CROSS_MODE_VARIANCE,F_MODE_SEVERE_DISAGREEMENT,PASS — no review required,"[W_CROSS_MODE_VARIANCE] mode_severity_std=0.62, mode_severity_mean=0.36, cv=173.22% (expected: cv < 10% across modes). Likely cause: factory modes produce substantially different severity estimates for this image. Check: are Gabor / LAB modes giving very different mask fills? May indicate borderline LAB values.. | [F_MODE_SEVERE_DISAGREEMENT] mode_severity_std=0.62, mode_severity_mean=0.36, cv=173.22% (expected: cv < 20% across modes). Likely cause: factory modes severely disagree on this image's severity — one or more modes may have failed. Check: re-run factory_master.py on this image with --verbose and inspect per-mode outputs..",False,2026-06-19T07:16:43Z
1718972354349,HEALTHY,mode_b,/home/luno/Projects/yellowmaize/maize_dataset/HEALTHY/1718972354349.jpg,0.0,0,244017,0.325356,0.0,0.7,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,False,0,False,-1.0,-1.0,-1.0,1.0931,0.6311,0.0,80.0,HIGH,,🔴,W_CROSS_MODE_VARIANCE,F_MODE_SEVERE_DISAGREEMENT,PASS — no review required,"[W_CROSS_MODE_VARIANCE] mode_severity_std=1.09, mode_severity_mean=0.63, cv=173.21% (expected: cv < 10% across modes). Likely cause: factory modes produce substantially different severity estimates for this image. Check: are Gabor / LAB modes giving very different mask fills? May indicate borderline LAB values.. | [F_MODE_SEVERE_DISAGREEMENT] mode_severity_std=1.09, mode_severity_mean=0.63, cv=173.21% (expected: cv < 20% across modes). Likely cause: factory modes severely disagree on this image's severity — one or more modes may have failed. Check: re-run factory_master.py on this image with --verbose and inspect per-mode outputs..",False,2026-06-19T07:16:43Z
